id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of
x1@0,N,,,T,,"Batch,DModel",1,,,
w1@0,N,,,T,,"DModel,DFF",1,,,
y1@0,N,w1@0,x1@0,M,"mn,bm->bn","DModel,DFF",1,"Batch,DModel",1.00000000000000,
dw1@0,Y,dx2@0,x1@0,M,"bn,bm->mn","Batch,DFF",1,"Batch,DModel",1.00000000000000,w1@0
dx1@0,N,dx2@0,w1@0,M,"bn,mn->bm","Batch,DFF",1,"DModel,DFF",1.00000000000000,x1@0
w2@0,N,,,T,,"DFF,DModel",1,,,
y2@0,N,w2@0,y1@0,M,"mn,bm->bn","DFF,DModel",1,"Batch,DFF",1.00000000000000,
dy2@0,N,,,T,,"Batch,DModel",1,,,y2@0
dw2@0,Y,dy2@0,y1@0,M,"bn,bm->mn","Batch,DModel",1,"Batch,DFF",1.00000000000000,w2@0
dx2@0,N,dy2@0,w2@0,M,"bn,mn->bm","Batch,DModel",1,"DFF,DModel",1.00000000000000,x2@0
