id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
x,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/(ep*1)",1,,,,
wrouter,Y,,,T,,"Dmodel/(ep*1), KExperts",1,,,,
yrouter,N,x,wrouter,M,"bsm,mn->bsn","Batch/dp, (Seq/cp)/tp, Dmodel/(ep*1)",1,"Dmodel/(ep*1), KExperts",1,,
yrouter2,N,yrouter,,R,,"Batch/dp, (Seq/cp)/tp, KExperts",1,"Batch/dp, (Seq/cp)*KExperts/tp",1,,
x1,N,x,,B,"1*KExperts","Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,
xrouted,N,x1,,I,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,
yrouted,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel",1/1,,,,
y1,N,yrouted,,I,,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,
y2,N,y1,yrouter2,M,"bsn,bs->bsn","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp",1,,
y,N,y2,,B,"1*1/KExperts","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,
dy,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,
dy2,N,dy,,B,"1*KExperts","Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,,,
dy1,N,dy2,yrouter2,M,"bsn,bs->bsn","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp",1,,
dyrouter2,N,dy2,y1,M,"bsn,bsn->bs","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,
dyrouted,N,dy1,,I,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,
dyrouter,N,dyrouter2,,R,,"Batch/dp, (Seq/cp)*KExperts/tp",1,"Batch/dp, (Seq/cp)/tp, KExperts",1,,
dwrouter,N,dyrouter,x,M,"bsn,bsm->mn","Batch/dp, (Seq/cp)/tp, KExperts",1,"Batch/dp, (Seq/cp)/tp, Dmodel/(ep*1)",1,wrouter,
dx01,N,dyrouter,wrouter,M,"bsn,mn->bsm","Batch/dp, (Seq/cp)/tp, KExperts",1,"Dmodel/(ep*1), KExperts",1,,
dxrouted,N,,,T,,"Batch/dp, (Seq/cp)*KExperts/(tp*ep), Dmodel/1",1,,,,
dx1,N,dxrouted,,I,,"Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,
dx02,N,dx1,,B,"1*1/KExperts","Batch/dp, (Seq/cp)*KExperts/tp, Dmodel/(1*ep)",1,,,,
dx,N,dx01,dx02,A,,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,"Batch/dp, (Seq/cp)/tp, Dmodel/(1*ep)",1,,
