id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
q,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,
k,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,
v,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,
qk,N,q,k,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,
qkv2,N,qk,v,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/cp, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,
qkv,N,qkv2,,I,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,
dqkv,N,,,T,,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,,,
dqkv2,N,,,I,,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,,,
dqk,N,dqkv,v,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,
dv,N,dqkv,q,M,"bsnh,bswh->bwnh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Seq/cp, Head/tp",1,,
dq,N,dqk,k2,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/cp, Head/tp",1,"Batch/dp, Seq/cp, Dmodel/Head, Head/tp",1,,
dk,N,dqk,q,M,"bswh,bsnh->bwnh","Batch/dp, Seq, Seq/cp, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,
