id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
x,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,
wq_shard,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), Head/tp",1,,,,
wk_shard,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), KVHead/tp",1,,,,
wv_shard,Y,,,T,,"Dmodel/dp, Dmodel/(Head*sp), KVHead/tp",1,,,,
wq,N,wq_shard,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""x""]}"
wk,N,wk_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""x""]}"
wv,N,wv_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""x""]}"
q,N,x,wq,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,
k,N,x,wk,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,
v,N,x,wv,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,
k2,N,k,,B,"3*Head/KVHead","Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,
v2,N,v,,B,"3*Head/KVHead","Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,
qk,N,q,k2,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,
qkv,N,qk,v2,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,
qkv_reshape,N,qkv,,R,,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,
res,N,qkv_reshape,x,A,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/tp",1,,
norm,N,res,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,,
d_norm,N,,,T,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,norm,
d_res,N,d_norm,,E,5,"Batch/dp, Seq/sp, Dmodel/tp",1,,,res,
wq_2,N,wq_shard,,I,,"Dmodel, Dmodel/Head, Head/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}"
wk_2,N,wk_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}"
wv_2,N,wv_shard,,I,,"Dmodel, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}"
q_recomp,N,x,wq_2,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_norm""]}"
k_recomp,N,x,wk_2,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,"{""ctrl_deps"": [""d_norm""]}"
v_recomp,N,x,wv_2,M,"bsm,mnh->bsnh","Batch/dp, Seq/sp, Dmodel",1,"Dmodel, Dmodel/Head, KVHead/tp",1,,"{""ctrl_deps"": [""d_norm""]}"
k2_recomp,N,k_recomp,,B,"3*Head/KVHead","Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}"
v2_recomp,N,v_recomp,,B,"3*Head/KVHead","Batch/dp, Seq/sp, Dmodel/Head, KVHead/tp",1,,,,"{""ctrl_deps"": [""d_norm""]}"
qk_recomp,N,q_recomp,k2_recomp,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,"{""ctrl_deps"": [""d_norm""]}"
d_qkv_reshape,N,d_res,,I,,"Batch/dp, Seq/sp, Dmodel/tp",1,,,qkv_reshape,
d_qkv,N,d_qkv_reshape,,R,,"Batch/dp, Seq/sp, Dmodel/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,qkv,
d_qk,N,d_qkv,v2_recomp,M,"bsnh,bwnh->bswh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,qk,
d_v2,N,d_qkv,qk_recomp,M,"bsnh,bswh->bwnh","Batch/dp, Seq, Dmodel/Head, Head/tp",1,"Batch/dp, Seq, Seq/sp, Head/tp",1,,
d_v,N,d_v2,,B,"3*KVHead/Head","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,,
d_q,N,d_qk,k2_recomp,M,"bswh,bwnh->bsnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,
d_k2,N,d_qk,q_recomp,M,"bswh,bsnh->bwnh","Batch/dp, Seq, Seq/sp, Head/tp",1,"Batch/dp, Seq, Dmodel/Head, Head/tp",1,,
d_k,N,d_k2,,B,"3*KVHead/Head","Batch/dp, Seq/sp, Dmodel/Head, Head/tp",1,,,,
