id_,require_grads,shape,hidden,x1,x2,op_type,op_attr,gradient_of,num_iter,offloading,x1_shape,x1_hidden,x2_shape,x2_hidden,direct_output_shape,direct_output_hidden,post_communications,ops
d_norm,N,"B/bp, Seq, H*D",1,,,T,,norm,0,0,,,,,,,,
d_res,N,"B/bp, Seq, H*D",1,d_norm,,E,10,res,0,0,"B/bp, Seq, H*D",1,,,"B/bp, Seq, H*D",1,,B/bp*Seq*H*D*10
d_x2,N,"B/bp, Seq, H*D",1,d_res,,E,1,x2,0,0,"B/bp, Seq, H*D",1,,,"B/bp, Seq, H*D",1,,B/bp*Seq*H*D*1
d_w2,N,"H*DF, H*D",1,d_x2,x1,M,"bse,bsd->de",w2,0,0,"B/bp, Seq, H*D",1,"B/bp, Seq, H*DF",1,"H*DF, H*D","B/bp, Seq",Reduce@bp:H*DF*H*D,H*DF*H*D*B/bp*Seq
d_w2_sharded,N,"H*DF, H*D/bp",1,d_w2,,C,Scatter@bp:H*DF*H*D/bp,w2_sharded,0,0,"H*DF, H*D",1,,,"H*DF, H*D/bp",1,,
d_x1,N,"B/bp, Seq, H*DF",1,d_x2,w2,M,"bse,de->bsd",x1,0,0,"B/bp, Seq, H*D",1,"H*DF, H*D",1,"B/bp, Seq, H*DF",H*D,,B/bp*Seq*H*DF*H*D
d_w1,N,"H*D, H*DF",1,d_x2,x1,M,"bse,bsd->de",w1,0,0,"B/bp, Seq, H*D",1,"B/bp, Seq, H*DF",1,"H*D, H*DF","B/bp, Seq",Reduce@bp:H*D*H*DF,H*D*H*DF*B/bp*Seq
d_w1_sharded,N,"H*D, H*DF/bp",1,d_w1,,C,Scatter@bp:H*D*H*DF/bp,w1_sharded,0,0,"H*D, H*DF",1,,,"H*D, H*DF/bp",1,,
d_x00,N,"B/bp, Seq, H*D",1,d_x1,w1,M,"bse,de->bsd",,0,0,"B/bp, Seq, H*DF",1,"H*D, H*DF",1,"B/bp, Seq, H*D",H*DF,,B/bp*Seq*H*D*H*DF
d_x01,N,"B/bp, Seq, H*D",1,d_res,,E,1,,0,0,"B/bp, Seq, H*D",1,,,"B/bp, Seq, H*D",1,,B/bp*Seq*H*D*1
d_x0,N,"B/bp, Seq, H*D",1,d_x00,d_x01,A,,x0,0,0,"B/bp, Seq, H*D",1,"B/bp, Seq, H*D",1,"B/bp, Seq, H*D",1,,B/bp*Seq*H*D
